Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorus,Fertilizer Name,pH_Level,Rainfall,Previous_Crop,Season,Field_Orientation
30,61,34,Black,Cotton,46,88,58,10-26-26,7.672519015137244,219.6975860999887,Cereals,Spring,Flat
29,63,47,Black,Millets,83,7,38,Urea,6.319378959610772,53.53846200935723,Root Crops,Autumn,Slope
26,63,33,Red,Tobacco,96,77,79,Urea,6.554022563750339,113.33596684486379,Cereals,Autumn,Flat
32,61,35,Loamy,Sugarcane,73,36,73,Urea,5.360201451029234,338.8699991200972,Legumes,Spring,Flat
36,58,60,Loamy,Millets,69,52,23,17-17-17,6.0644938203798535,261.4083922763432,None,Summer,Flat
38,58,62,Black,Cotton,1,1,28,20-20,6.588738071767893,256.5514702640688,Root Crops,Summer,Flat
30,51,59,Clayey,Paddy,86,77,88,28-28,5.579205138062157,248.07573254549263,Legumes,Autumn,Flat
26,67,37,Clayey,Wheat,95,31,38,28-28,6.800558414676537,88.34240005496778,Legumes,Spring,Slope
36,54,43,Red,Paddy,20,57,92,DAP,6.019489048064956,51.22483429758311,Root Crops,Spring,Flat
29,75,59,Sandy,Millets,99,42,51,Urea,6.266645000165378,182.19569542152865,Cereals,Spring,Flat
25,72,54,Clayey,Cotton,0,73,88,DAP,6.0186347102164826,183.29732145359313,Legumes,Summer,Flat
36,61,42,Sandy,Paddy,44,18,43,Urea,7.98182254760715,293.5416353504155,None,Spring,Flat
34,63,36,Black,Cotton,97,86,60,28-28,6.489202220209653,104.4702549072137,Legumes,Autumn,Flat
30,77,36,Red,Wheat,97,34,44,28-28,5.6538312568352795,132.53334892975215,Legumes,Autumn,Flat
37,62,45,Red,Pulses,2,90,45,10-26-26,7.158035929682551,73.47269950681053,Legumes,Summer,Flat
36,52,36,Black,Paddy,75,17,49,28-28,5.523325080023183,169.96251058638921,Legumes,Spring,Slope
33,64,52,Black,Millets,76,76,74,14-35-14,6.667090876003805,126.79692454779837,Root Crops,Spring,Flat
25,64,53,Sandy,Millets,41,30,33,DAP,4.93226390089618,128.8687532456408,None,Summer,Slope
35,52,63,Clayey,Cotton,51,80,70,14-35-14,5.437451160881255,126.21592613558529,Root Crops,Spring,Flat
35,69,28,Clayey,Tobacco,74,73,62,28-28,6.657488988695299,119.45555274465303,Legumes,Autumn,Flat
39,68,55,Loamy,Maize,71,71,70,14-35-14,7.090773263996328,145.93790908738953,Root Crops,Summer,Slope
34,64,48,Sandy,Sugarcane,77,39,54,28-28,6.637094624951977,211.00704943456932,Root Crops,Spring,Slope
36,68,42,Red,Maize,48,83,97,DAP,6.407481374089407,181.3130831435242,Cereals,Summer,Flat
36,57,50,Sandy,Barley,62,26,92,28-28,6.259117043528569,69.03408836768743,Cereals,Spring,Flat
39,72,44,Sandy,Sugarcane,41,80,15,DAP,5.317182407706058,177.75795912793149,Cereals,Spring,Flat
38,62,32,Black,Sugarcane,30,53,73,Urea,5.924124633284233,303.8834763537757,Root Crops,Spring,Flat
38,72,57,Black,Wheat,75,80,48,14-35-14,6.13148898323217,80.21123524016433,Root Crops,Summer,Flat
39,79,28,Black,Tobacco,88,68,56,Urea,7.345697780975133,333.3084797994966,Root Crops,Spring,Slope
38,59,62,Black,Maize,13,78,1,20-20,6.774894631654769,142.5771112294962,None,Spring,Flat
27,51,46,Black,Wheat,30,61,52,14-35-14,5.089567875709813,54.3606888204508,Root Crops,Autumn,Flat
36,60,60,Sandy,Pulses,43,26,35,17-17-17,6.759267175515836,125.94667371929515,Root Crops,Summer,Slope
31,74,55,Black,Cotton,46,95,85,10-26-26,6.191934175666947,70.89788616641103,Root Crops,Autumn,Flat
28,78,32,Clayey,Tobacco,67,34,24,17-17-17,5.958462399755233,219.9144038170016,None,Summer,Slope
33,71,33,Clayey,Sugarcane,46,93,80,10-26-26,6.989341031072694,144.89753826516488,None,Autumn,Flat
27,79,42,Loamy,Paddy,75,24,60,Urea,7.324799617996761,292.0629841774012,Root Crops,Summer,Flat
29,68,59,Clayey,Pulses,26,68,15,17-17-17,7.245024095292959,269.7875264371256,Root Crops,Summer,Slope
27,58,48,Loamy,Wheat,17,37,89,DAP,5.828625981421889,190.57893784603277,Cereals,Spring,Flat
31,58,41,Clayey,Sugarcane,11,7,67,20-20,6.2526300993190285,218.18048325239133,Legumes,Summer,Flat
29,55,25,Red,Maize,72,10,62,28-28,6.765010745122851,232.63088029430605,None,Summer,Flat
33,78,63,Loamy,Maize,67,50,16,17-17-17,7.280436101697887,131.2114062186485,None,Spring,Flat
31,59,39,Sandy,Paddy,20,4,7,20-20,6.116660609723768,91.81291195825625,Cereals,Autumn,Flat
26,71,37,Black,Sugarcane,4,37,74,20-20,6.351472818668946,162.955644816307,Legumes,Spring,Flat
28,73,47,Loamy,Barley,87,57,82,Urea,5.614932020795178,78.45726383419397,Root Crops,Autumn,Flat
33,57,53,Clayey,Barley,17,9,10,20-20,5.543034700735463,144.45901262161658,Root Crops,Spring,Flat
36,64,55,Sandy,Tobacco,97,48,65,Urea,7.150020657915358,215.78064823331482,Root Crops,Spring,Flat
38,55,61,Clayey,Millets,3,14,20,20-20,7.5849920228566585,212.03375723944018,Legumes,Autumn,Flat
26,56,52,Sandy,Cotton,87,73,13,Urea,6.442391902735733,86.1840123317767,Root Crops,Summer,Flat
34,69,56,Clayey,Tobacco,80,80,2,17-17-17,7.3028263183136195,52.501730001202354,Cereals,Summer,Slope
33,66,31,Black,Tobacco,13,26,89,10-26-26,6.789308820038107,76.68306858219444,None,Autumn,Flat
34,53,38,Red,Pulses,1,97,40,10-26-26,5.9839041963159,60.84501258526031,None,Summer,Flat
29,57,38,Clayey,Maize,58,44,10,17-17-17,6.7891164844067315,170.14066682218547,Legumes,Summer,Flat
26,77,56,Clayey,Tobacco,18,18,69,17-17-17,7.730429253172775,166.92505585174843,Legumes,Summer,Slope
28,62,33,Loamy,Barley,17,86,27,10-26-26,6.4713391687120385,122.48460959137512,Cereals,Summer,Flat
36,73,30,Black,Wheat,82,70,18,Urea,7.751714924651205,114.63333789945787,Cereals,Autumn,Flat
39,63,39,Sandy,Sugarcane,51,56,94,10-26-26,4.404203916728204,168.92597493752194,None,Autumn,Flat
36,67,54,Loamy,Maize,76,14,36,20-20,7.157522003500179,75.97207346682407,Cereals,Spring,Flat
31,72,54,Black,Tobacco,78,39,77,14-35-14,6.569637654590537,114.29273749856488,Cereals,Autumn,Flat
36,78,40,Black,Barley,43,97,21,10-26-26,6.260794119627306,171.70757145636756,Legumes,Spring,Slope
37,66,47,Loamy,Cotton,2,49,33,20-20,6.573408621228402,78.4489742730736,Cereals,Autumn,Flat
32,67,55,Sandy,Tobacco,35,4,97,Urea,4.909944868319286,302.24410184138316,Cereals,Autumn,Flat
39,63,36,Red,Millets,11,73,45,14-35-14,6.324262489729991,252.80554938703187,None,Spring,Slope
27,73,45,Loamy,Millets,15,17,91,10-26-26,6.785690057209397,164.93577465394333,Legumes,Autumn,Flat
38,60,27,Clayey,Paddy,4,17,84,DAP,7.682315235793213,95.11949276866235,None,Summer,Flat
25,59,27,Red,Maize,77,87,37,Urea,6.085383825381082,108.25619356062029,Cereals,Summer,Flat
28,62,62,Sandy,Maize,34,26,61,17-17-17,5.85320511768545,86.02687542432321,Cereals,Autumn,Flat
26,78,46,Sandy,Pulses,2,18,52,20-20,6.098594365132371,98.02514818205997,Cereals,Spring,Slope
32,69,45,Loamy,Millets,40,81,83,DAP,7.2323216941616595,176.75424169104662,Cereals,Summer,Flat
28,65,40,Loamy,Wheat,59,64,72,14-35-14,6.763000887727747,123.6993995843929,Legumes,Autumn,Flat
26,63,42,Red,Pulses,65,31,40,Urea,6.076191836986369,315.37354305836726,None,Autumn,Flat
38,52,28,Red,Wheat,78,11,38,Urea,6.910613946490685,338.27861901025994,Root Crops,Autumn,Slope
30,79,44,Clayey,Paddy,58,29,31,17-17-17,6.577662039478432,257.4095130473428,None,Autumn,Flat
30,67,37,Clayey,Tobacco,55,69,20,Urea,7.274915992426312,292.6283328340648,Root Crops,Spring,Flat
34,76,55,Clayey,Sugarcane,11,51,7,20-20,5.938357524898118,126.53586067373645,None,Spring,Slope
28,55,26,Red,Barley,57,71,58,14-35-14,6.237870282721786,249.507192247437,None,Spring,Flat
30,69,54,Black,Pulses,29,80,63,10-26-26,6.186313477494274,67.39959588083835,Root Crops,Spring,Flat
37,52,55,Red,Maize,6,48,66,Urea,5.329188041494305,338.06482559269875,Root Crops,Spring,Flat
39,68,52,Clayey,Millets,0,56,39,14-35-14,6.736896221651661,251.06208959208251,Root Crops,Autumn,Flat
26,75,33,Black,Wheat,37,85,62,14-35-14,6.708844217743912,145.05535144189494,Legumes,Summer,Flat
34,52,35,Clayey,Millets,43,20,49,Urea,6.504090765313968,281.912467635172,None,Spring,Flat
36,61,59,Black,Tobacco,80,3,14,28-28,6.312330293299882,54.73983476119674,Legumes,Spring,Slope
26,57,61,Sandy,Sugarcane,60,87,73,DAP,5.367703406359668,162.87087061712336,Legumes,Summer,Flat
34,74,41,Red,Wheat,91,80,79,Urea,6.163483741787712,318.69732888932606,Cereals,Spring,Slope
38,74,50,Sandy,Paddy,60,95,66,10-26-26,6.225828386778584,128.95986892346963,Cereals,Autumn,Slope
28,54,28,Loamy,Cotton,78,91,28,Urea,5.858178184622705,250.37429362371898,Root Crops,Spring,Slope
38,66,57,Sandy,Wheat,29,61,21,17-17-17,6.3709714306671925,158.03110471990777,Legumes,Summer,Flat
39,59,41,Sandy,Sugarcane,6,33,13,20-20,6.823240685451631,167.7093007060082,Root Crops,Summer,Flat
39,70,32,Loamy,Paddy,78,11,55,28-28,8.008948720968425,273.78111504634523,Cereals,Spring,Flat
32,66,50,Red,Sugarcane,56,5,7,Urea,6.639662250265471,323.06179945907394,Legumes,Autumn,Flat
38,58,44,Clayey,Barley,36,21,83,DAP,6.706040312578211,100.01555688962287,Cereals,Summer,Flat
31,62,62,Red,Millets,62,76,26,17-17-17,6.440443267387066,133.06763262666405,Cereals,Autumn,Flat
36,59,57,Clayey,Cotton,46,47,67,14-35-14,4.964983027760766,196.33555478679006,Cereals,Summer,Flat
33,78,64,Loamy,Barley,10,47,51,14-35-14,6.478788899640627,234.14481977228334,Root Crops,Spring,Flat
38,57,41,Black,Wheat,78,8,34,20-20,6.548184167952821,190.33613383622026,Legumes,Spring,Flat
32,56,33,Loamy,Tobacco,54,63,33,Urea,8.47059368998823,291.6586084796429,Cereals,Summer,Slope
29,51,44,Red,Barley,18,3,40,Urea,6.346111228175102,280.4284653844246,Cereals,Autumn,Flat
37,51,32,Black,Pulses,82,37,45,Urea,6.74123787386689,171.57287661067832,Root Crops,Autumn,Flat
26,79,30,Loamy,Sugarcane,12,22,92,DAP,6.472230584235805,62.183561798161506,Legumes,Spring,Flat
39,53,33,Red,Barley,71,72,72,14-35-14,5.565057569904374,108.3489136452138,Cereals,Autumn,Slope
29,58,35,Black,Pulses,67,32,83,DAP,7.414258251612017,196.0857947627736,Root Crops,Summer,Flat
32,79,29,Red,Wheat,82,48,27,Urea,7.10154642614942,328.25412699862005,Root Crops,Summer,Slope
34,74,32,Loamy,Cotton,49,93,28,10-26-26,7.132825557634438,220.2708460555384,Legumes,Summer,Flat
33,63,59,Sandy,Wheat,57,13,69,28-28,5.772490036164209,209.11847193301102,Cereals,Summer,Flat
36,73,49,Sandy,Wheat,53,3,58,28-28,7.62223544874888,267.19101299090244,None,Autumn,Flat
36,60,60,Loamy,Maize,2,64,61,14-35-14,5.378519149766175,95.6884844469281,Cereals,Summer,Slope
36,70,63,Clayey,Tobacco,48,47,31,17-17-17,6.969485675040216,94.07554044162117,None,Spring,Flat
37,79,30,Red,Barley,30,62,86,DAP,8.252364500647984,153.61855234080002,Cereals,Spring,Flat
33,56,48,Loamy,Millets,25,70,92,Urea,5.707570939895449,348.4557894639302,Root Crops,Summer,Flat
37,77,45,Sandy,Paddy,93,15,25,Urea,6.046961816317783,312.78254974981996,None,Spring,Flat
39,74,60,Red,Barley,89,46,6,28-28,6.579721092070113,254.03417013044188,Legumes,Spring,Slope
37,68,42,Clayey,Millets,88,85,7,Urea,6.097219476707041,167.34647685889135,Cereals,Spring,Flat
25,53,25,Sandy,Barley,64,25,96,DAP,5.259469255147094,216.40218655302255,Legumes,Spring,Flat
33,51,53,Black,Millets,61,22,31,17-17-17,6.554850379844821,141.06623537271642,Cereals,Spring,Flat
31,74,41,Clayey,Barley,0,35,83,DAP,5.650157029019116,252.29210365581582,None,Spring,Flat
33,72,29,Red,Cotton,69,85,49,14-35-14,6.878873944508145,175.65369846724423,Cereals,Autumn,Flat
32,71,30,Sandy,Sugarcane,94,3,91,28-28,5.764460612612957,86.06476827266508,Legumes,Summer,Flat
25,70,32,Red,Millets,47,21,88,DAP,7.739947524014031,114.52638622941788,Cereals,Spring,Slope
36,77,49,Sandy,Barley,87,94,3,Urea,5.873397366131011,232.60783740103437,None,Summer,Flat
32,72,43,Sandy,Wheat,97,12,53,28-28,6.242350787035459,258.36941080730287,Legumes,Summer,Slope
32,68,63,Black,Paddy,69,71,13,10-26-26,7.150813773895736,78.80649939024835,Root Crops,Spring,Slope
39,70,33,Black,Cotton,27,56,92,Urea,5.515308546852836,292.50229312164385,Cereals,Autumn,Slope
35,67,52,Sandy,Millets,15,35,62,Urea,6.681967947683304,297.30421577447703,Cereals,Summer,Slope
27,70,55,Black,Pulses,89,2,11,Urea,7.545714203425943,266.9245742831075,Root Crops,Autumn,Slope
25,56,25,Black,Pulses,52,36,16,DAP,5.214013412351018,255.07656033382725,Cereals,Spring,Flat
32,60,34,Clayey,Sugarcane,88,49,47,Urea,6.647707086825843,119.5605758071806,Root Crops,Autumn,Flat
27,59,46,Black,Tobacco,72,29,69,Urea,6.707906235398739,325.88658872407285,Cereals,Summer,Slope
27,60,25,Clayey,Millets,25,46,89,DAP,7.125458297421848,130.57206655070544,Legumes,Summer,Slope
25,72,37,Loamy,Tobacco,36,13,8,20-20,5.510439431297534,104.75139179523745,Root Crops,Summer,Slope
35,58,38,Clayey,Maize,99,84,10,28-28,5.443634709532579,241.56021101118472,Legumes,Autumn,Slope
29,52,47,Clayey,Pulses,61,53,1,17-17-17,6.917553252493518,159.23128848364343,Cereals,Spring,Slope
34,73,63,Sandy,Pulses,57,41,12,Urea,6.737587738586549,329.90842539858374,Root Crops,Autumn,Slope
31,54,52,Loamy,Sugarcane,90,65,56,Urea,6.700394280276702,188.07488253750515,Cereals,Summer,Flat
34,72,53,Loamy,Tobacco,57,0,73,28-28,6.7771585675975805,99.11556291534615,Cereals,Summer,Slope
33,50,64,Red,Cotton,97,58,44,28-28,5.955980222737208,337.25859421845524,Legumes,Spring,Flat
36,50,57,Loamy,Cotton,40,2,71,28-28,6.685802957728803,204.63017410779955,None,Autumn,Slope
31,69,26,Red,Sugarcane,5,88,38,10-26-26,6.734457978638945,205.56767744537882,None,Summer,Flat
33,54,57,Red,Barley,31,27,62,17-17-17,5.928518865578906,165.74080665330848,Cereals,Summer,Flat
32,78,48,Clayey,Millets,40,91,14,Urea,7.992619608915805,300.79813250846155,Legumes,Spring,Flat
36,75,36,Clayey,Millets,65,14,99,10-26-26,6.87906633672943,136.29308620580275,Cereals,Autumn,Flat
26,68,64,Sandy,Cotton,30,36,32,17-17-17,5.546957202237881,54.11291236708578,Root Crops,Autumn,Flat
25,55,52,Sandy,Tobacco,68,68,81,14-35-14,7.025242886907064,199.1833780730257,Root Crops,Spring,Slope
31,52,59,Black,Maize,53,46,28,Urea,5.720254663818142,327.76607349268164,Cereals,Spring,Flat
31,70,34,Red,Paddy,97,92,64,Urea,7.129667682993961,131.98000596331246,None,Summer,Flat
38,76,58,Black,Paddy,96,76,2,Urea,7.426876463205923,129.89163100803532,Root Crops,Autumn,Flat
32,62,29,Sandy,Wheat,21,99,24,10-26-26,5.843454145318631,271.42996383321565,Root Crops,Spring,Flat
29,66,42,Loamy,Paddy,86,96,6,Urea,7.270700903395458,282.6600002192547,Root Crops,Spring,Flat
27,52,30,Black,Tobacco,45,71,90,DAP,6.830224741549198,180.66696130554425,Root Crops,Summer,Slope
36,72,35,Sandy,Wheat,99,81,77,28-28,7.157648127995592,300.0929813369108,Legumes,Summer,Flat
32,52,25,Clayey,Maize,22,54,52,14-35-14,8.017434386123158,101.579925201105,Legumes,Spring,Flat
30,70,47,Red,Pulses,98,64,89,Urea,6.303689507197704,160.10761200828406,None,Spring,Slope
35,72,28,Black,Paddy,34,43,77,DAP,5.897011068514008,171.28337459503166,None,Summer,Flat
27,62,31,Sandy,Millets,56,48,53,14-35-14,5.7883884562995815,143.83876796188804,Root Crops,Autumn,Flat
25,51,41,Black,Barley,5,33,4,20-20,5.8473517720276496,115.3212647057432,None,Autumn,Slope
27,52,35,Black,Barley,48,14,29,20-20,6.438318632468716,151.44485868268777,Root Crops,Summer,Flat
29,69,51,Sandy,Millets,51,53,3,17-17-17,6.772921579853315,55.400955060727306,Root Crops,Autumn,Flat
39,65,36,Sandy,Wheat,31,37,83,10-26-26,6.7213526394640155,261.00501042802057,Root Crops,Autumn,Flat
38,70,58,Red,Sugarcane,82,11,73,Urea,7.161746599228819,255.1877703590936,Cereals,Spring,Slope
27,61,32,Black,Maize,90,31,22,28-28,6.510401513502326,185.06543366309998,Legumes,Autumn,Slope
25,74,47,Loamy,Tobacco,42,58,21,17-17-17,7.6628272617258535,146.87467515970508,Legumes,Spring,Flat
29,58,50,Black,Paddy,13,68,3,20-20,6.288274533409635,180.22806077073471,Cereals,Autumn,Flat
34,65,58,Clayey,Cotton,1,88,72,Urea,8.676135333271695,330.95624479667606,Legumes,Summer,Flat
31,53,56,Sandy,Millets,88,86,87,Urea,7.000533878212005,231.06945466977027,Root Crops,Autumn,Slope
39,79,30,Clayey,Tobacco,27,52,67,14-35-14,5.814273954866974,269.4071947454237,Root Crops,Spring,Flat
38,74,25,Clayey,Sugarcane,68,84,96,DAP,5.64328600155111,118.85502359338909,Cereals,Summer,Flat
31,69,28,Black,Paddy,33,64,96,DAP,6.885977932194548,78.42739169756842,Legumes,Spring,Flat
35,67,49,Black,Tobacco,54,20,64,28-28,6.321229771739319,74.95548041273504,Legumes,Summer,Slope
33,75,32,Black,Maize,49,69,78,14-35-14,7.0712003952736735,191.60565607357532,Cereals,Summer,Slope
39,50,64,Black,Paddy,85,26,98,Urea,6.878590099658836,265.0059013733098,Root Crops,Autumn,Flat
39,56,44,Red,Tobacco,73,45,60,Urea,6.441736869874502,282.23611477821635,Legumes,Autumn,Flat
34,69,38,Clayey,Paddy,69,77,60,10-26-26,5.822565025545276,266.1229420970029,None,Spring,Flat
34,61,57,Loamy,Cotton,66,12,11,DAP,5.288122220251308,323.8287462944511,Root Crops,Summer,Flat
36,57,27,Red,Cotton,65,29,2,17-17-17,6.142788038346383,65.60073376765585,Root Crops,Spring,Slope
37,57,39,Clayey,Tobacco,62,36,34,Urea,7.1851190354587775,306.60184656944915,Cereals,Autumn,Flat
27,77,51,Sandy,Paddy,61,21,17,20-20,6.671274995304163,248.20297868119167,Cereals,Summer,Slope
39,73,43,Black,Wheat,29,58,4,17-17-17,5.50340897703041,102.65603360078919,Root Crops,Spring,Flat
31,71,25,Black,Wheat,8,50,89,DAP,6.6385447406809455,254.71422045128824,Root Crops,Spring,Flat
25,58,59,Black,Cotton,70,69,82,14-35-14,6.808253903783069,203.52786804127138,None,Summer,Slope
28,63,57,Clayey,Maize,90,25,1,28-28,5.7929140510390935,157.71237396026046,Legumes,Autumn,Flat
37,69,41,Sandy,Paddy,42,86,9,10-26-26,6.622980084756422,124.38744774975932,Root Crops,Summer,Slope
28,54,37,Sandy,Sugarcane,40,87,43,10-26-26,6.5465669747568,189.24631617341976,None,Autumn,Flat
38,69,36,Red,Barley,97,81,9,Urea,5.585623761735501,121.73979355676285,Root Crops,Spring,Slope
29,70,63,Red,Paddy,59,21,40,20-20,6.786229888278626,74.85412518924002,None,Spring,Flat
31,51,50,Clayey,Barley,69,6,15,Urea,6.948627621094587,303.8360175259962,Root Crops,Summer,Slope
31,70,51,Red,Sugarcane,94,29,2,28-28,7.366440994540222,227.85109455685784,Legumes,Spring,Flat
37,59,48,Red,Barley,28,49,91,DAP,7.343041641627923,159.10089751649917,Root Crops,Summer,Flat
39,73,41,Black,Wheat,90,92,2,Urea,5.3978645056343275,184.00399418982644,Root Crops,Spring,Flat
35,58,35,Red,Millets,42,79,10,Urea,5.749739968067901,309.44821028290653,Cereals,Spring,Flat
37,56,46,Red,Millets,86,92,79,28-28,6.912028213766928,145.9530516517574,Legumes,Summer,Flat
28,72,32,Red,Tobacco,59,79,94,DAP,6.911028760729767,164.0519142365015,Root Crops,Spring,Flat
37,79,56,Clayey,Barley,8,66,77,14-35-14,6.912038149044839,279.8241232345181,Root Crops,Summer,Flat
31,71,53,Red,Maize,94,73,99,Urea,9.0,110.15678327396935,None,Autumn,Flat
35,67,56,Loamy,Cotton,59,35,96,DAP,6.956712408554534,247.77876570098374,Legumes,Summer,Slope
27,75,64,Loamy,Maize,56,44,79,28-28,7.408452512144479,180.29714163778678,None,Spring,Flat
30,61,29,Red,Barley,42,71,97,DAP,7.2632014107945615,200.04756967904262,Legumes,Spring,Flat
36,60,37,Loamy,Wheat,49,92,61,Urea,7.021113001044639,286.0640466862401,None,Summer,Slope
26,59,49,Black,Pulses,65,6,74,Urea,6.247784604287723,347.9397068944806,Cereals,Spring,Slope
34,62,34,Clayey,Cotton,40,6,99,Urea,7.107175376394614,299.45357720584116,Root Crops,Summer,Flat
37,58,50,Red,Pulses,23,54,37,14-35-14,5.881739828369943,98.16318990878125,Cereals,Autumn,Flat
38,65,50,Loamy,Paddy,25,36,90,DAP,6.310545114607993,117.36555057211653,None,Summer,Flat
33,79,45,Black,Wheat,38,48,32,17-17-17,6.111709161736718,172.979143141725,Cereals,Autumn,Flat
29,70,47,Black,Sugarcane,47,88,16,10-26-26,6.565499311509058,265.7679559703079,None,Autumn,Flat
30,71,36,Red,Maize,89,97,31,Urea,8.351726853338807,202.81134959606945,Root Crops,Spring,Flat
36,66,63,Black,Sugarcane,30,36,15,DAP,5.006187845926601,320.54020257664627,Cereals,Summer,Flat
36,54,49,Black,Cotton,91,49,30,Urea,7.049008152299611,64.60264411183503,Cereals,Spring,Slope
36,55,36,Red,Wheat,70,82,97,DAP,5.209827303048279,127.55509364389923,None,Spring,Flat
36,59,60,Loamy,Cotton,10,31,11,20-20,6.122454507368453,115.78147772924518,Legumes,Autumn,Slope
28,60,56,Sandy,Paddy,4,88,13,10-26-26,7.371160477573893,273.2512842528141,Legumes,Spring,Slope
38,51,42,Clayey,Maize,15,2,88,DAP,6.55142401527637,189.43146445678656,None,Spring,Flat
38,56,44,Red,Wheat,52,25,23,17-17-17,5.637804177656555,54.50391221079972,None,Spring,Slope
35,63,26,Loamy,Barley,85,47,48,Urea,5.927757032592026,282.03102572865,Root Crops,Spring,Flat
34,53,57,Black,Cotton,63,50,28,17-17-17,7.043678199147741,158.5409468308015,Root Crops,Spring,Flat
31,54,41,Sandy,Barley,51,44,27,17-17-17,5.915706694626291,128.13810753868438,Root Crops,Summer,Flat
36,68,60,Black,Wheat,56,99,88,DAP,6.67316687166558,104.81530462392591,None,Spring,Flat
33,70,54,Sandy,Sugarcane,97,98,31,Urea,6.536457471923051,333.80365601767073,Cereals,Autumn,Slope
31,77,33,Sandy,Barley,65,28,64,Urea,5.978719721915346,332.61140829184023,Cereals,Summer,Flat
38,69,55,Loamy,Paddy,3,93,64,10-26-26,8.215155271460262,72.96586645451501,Cereals,Autumn,Flat
25,77,63,Red,Barley,30,52,77,14-35-14,7.007135217854409,119.83020789587601,Legumes,Autumn,Slope
25,79,45,Loamy,Pulses,21,20,57,DAP,4.879885930673915,243.8357966248539,Legumes,Autumn,Slope
33,59,46,Red,Cotton,43,52,8,17-17-17,6.649163451815542,251.12739751349426,Legumes,Autumn,Flat
35,55,41,Loamy,Tobacco,23,86,47,10-26-26,5.97057082818529,175.30152315329423,None,Summer,Slope
38,51,27,Sandy,Cotton,42,51,66,14-35-14,7.181946667836979,220.5529573436643,Root Crops,Autumn,Flat
33,52,56,Loamy,Wheat,50,44,75,14-35-14,5.86598340925384,260.7891749628983,Cereals,Spring,Flat
28,77,57,Clayey,Wheat,49,10,0,Urea,6.4082108468264805,335.15276122050983,Cereals,Autumn,Flat
37,64,34,Red,Wheat,45,41,13,17-17-17,6.903989823184366,267.5328203800343,None,Summer,Flat
33,59,29,Red,Maize,1,66,11,20-20,7.192604155336097,83.08118928676532,Root Crops,Spring,Flat
27,66,28,Loamy,Pulses,41,12,25,20-20,5.539762874355379,265.3539842518425,Cereals,Summer,Flat
31,56,62,Sandy,Tobacco,11,27,2,20-20,6.232399011327241,70.31789856174225,Cereals,Spring,Slope
30,74,56,Sandy,Tobacco,99,98,69,Urea,6.120043751071235,200.7521711023217,None,Spring,Flat
32,51,62,Black,Millets,49,16,40,20-20,5.977336613941031,208.06857227686763,Root Crops,Spring,Flat
35,56,44,Loamy,Cotton,10,78,0,Urea,7.9123633922248775,283.4794117118217,Cereals,Summer,Slope
33,64,33,Black,Tobacco,28,72,91,10-26-26,6.823985368768764,53.4675948215699,Legumes,Autumn,Flat
38,52,39,Sandy,Pulses,65,50,82,Urea,5.491292836531963,312.4256201300807,Cereals,Summer,Flat
29,54,32,Black,Pulses,64,94,92,10-26-26,7.234289557643821,249.165418912409,Cereals,Autumn,Slope
